Id,SalePrice
1461,121631.51666666666
1462,152978.33333333334
1463,179062.36666666667
1464,188139.45
1465,199413.36666666667
1466,181520.16666666666
1467,172761.98333333334
1468,174010.16666666666
1469,180065.93333333332
1470,120457.21666666666
1471,183459.61666666667
1472,94878.33333333333
1473,101023.33333333333
1474,150371.66666666666
1475,131733.16666666666
1476,391943.23333333334
1477,254578.0
1478,308974.2
1479,281754.48333333334
1480,457479.36666666664
1481,329999.7833333333
1482,209155.16666666666
1483,178882.86666666667
1484,170839.7
1485,173196.6
1486,204128.58333333334
1487,332154.85
1488,243936.13333333333
1489,210780.58333333334
1490,201809.96666666667
1491,190041.66666666666
1492,119048.4
1493,180366.66666666666
1494,297933.3333333333
1495,292745.8333333333
1496,217176.88333333333
1497,195150.08333333334
1498,156388.25
1499,156951.6
1500,158288.61666666667
1501,177048.33333333334
1502,159043.5
1503,292947.3333333333
1504,237320.75
1505,221593.63333333333
1506,207325.48333333334
1507,243652.56666666668
1508,215665.0
1509,167088.73333333334
1510,152835.0
1511,151631.81666666668
1512,158300.0
1513,147598.55
1514,148370.98333333334
1515,182795.73333333334
1516,158800.0
1517,156311.66666666666
1518,136445.0
1519,203592.46666666667
1520,139504.16666666666
1521,146859.16666666666
1522,160397.5
1523,118370.26666666666
1524,121374.2
1525,127286.66666666667
1526,129218.48333333334
1527,107352.85
1528,122536.25
1529,144356.66666666666
1530,172106.66666666666
1531,130340.35
1532,103395.83333333333
1533,140445.0
1534,118490.71666666666
1535,147300.15
1536,118275.58333333333
1537,81290.83333333333
1538,182263.33333333334
1539,230310.58333333334
1540,116526.66666666667
1541,145281.4
1542,136992.5
1543,205870.23333333334
1544,76357.03333333334
1545,99411.26666666666
1546,122433.21666666666
1547,134325.56666666668
1548,128613.63333333333
1549,110998.1
1550,141676.4
1551,110525.33333333333
1552,138570.96666666667
1553,146195.83333333334
1554,102476.1
1555,193052.01666666666
1556,131626.36666666667
1557,122055.7
1558,92075.0
1559,124053.33333333333
1560,140790.83333333334
1561,142681.66666666666
1562,128270.26666666666
1563,123387.21666666666
1564,159373.16666666666
1565,157231.66666666666
1566,217077.96666666667
1567,80673.33333333333
1568,225316.23333333334
1569,150404.7
1570,135421.0
1571,130775.83333333333
1572,146770.2
1573,230082.03333333333
1574,144690.0
1575,201417.35
1576,214089.7
1577,208451.93333333332
1578,168343.38333333333
1579,144775.0
1580,190059.65
1581,136663.11666666667
1582,131066.66666666667
1583,322158.81666666665
1584,239093.75
1585,140291.66666666666
1586,74042.21666666666
1587,103068.93333333333
1588,153098.48333333334
1589,103493.16666666667
1590,135280.0
1591,105061.1
1592,132168.33333333334
1593,118369.16666666667
1594,144769.46666666667
1595,135178.33333333334
1596,242097.48333333334
1597,194067.76666666666
1598,192913.96666666667
1599,219348.15
1600,197694.78333333333
1601,75619.06666666667
1602,110994.88333333333
1603,90085.0
1604,273505.31666666665
1605,258609.53333333333
1606,165584.16666666666
1607,164340.33333333334
1608,223669.65
1609,199521.33333333334
1610,166891.75
